Time_metric,Duration_years_min,Duration_years_max,Time_type,Start_date,End_date,Context,Geography,Source_title,Source_URL,Source_location,Source_year,Scope,Record_ID,Use_category,Date_precision,Duration_derivation,Verification_level,Traceback,Selection_status
agreement signing and facility-transfer deadlines,0.25,0.25,policy_node,2018-09-30,2018-12-31,Agreement signing deadline 2018-09-30; facility transfer deadline 2018-12-31; payments within 15 days after signing/transfer.,"Taihu, Suzhou, China",Announcement on compensation for removal of net enclosures in Lake Taihu (Su Fu Gong [2018] No. 4) [translated title],https://www.suzhou.gov.cn/szsrmzf/zfwj/201805/LQJZ9KC3GM25LQRTJA6R74K02KZKWB9M.shtml,Strict workbook evidence row states signing and transfer deadlines.,2018,case node; not a universal implementation duration,TIME_TAIHU_SIGN_TRANSFER_2018,Policy_node,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_TAIHU_SIGN_TRANSFER_2018,retained_baseline
observed timescale for reduction of sediment phosphorus release,3.0,20.0,ecological_lag,,,"Observed monitoring timescales vary from three to 20 years, with the majority between one and two decades.",Lake monitoring programmes,Timescale of reduction of long-term phosphorus release from sediment in lakes,https://www.daera-ni.gov.uk/sites/default/files/publications/daera/Timescale%20of%20reduction%20of%20long-term%20phosphorus%20release%20from%20sediment%20in%20lakes.PDF,Search/PDF snippet: timescales varied from 3 to 20 years; majority one to two decades.,,ecological/process lag range; use as shaded background or caveat,TIME_INTERNAL_P_RELEASE_REVIEW_3_20,Ecological_response_lag,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_INTERNAL_P_RELEASE_REVIEW_3_20,retained_baseline
contract award to operation/compliance,3.0,4.0,engineering_duration,2011-01,2015-01,ENR first contract awarded January 2011; second contract awarded April 2011; facilities placed into operation in 2014 for EPA nitrogen compliance by January 2015.,"Blue Plains, Washington DC, USA",Enhanced Nitrogen Removal Facilities,https://www.dcwater.com/projects/enhanced-nitrogen-removal-facilities,DC Water page lines 662-673.,2011,case duration; WWTP upgrade example only,TIME_BLUEPLAINS_ENR_2011_2015,Engineering_duration,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_BLUEPLAINS_ENR_2011_2015,retained_baseline
sewer trunk/interceptor installation and effluent diversion,5.0,5.0,engineering_duration,1963,1968-02,"Approximately 5 calendar years from 1963 to February 1968; engineering project duration, not a universal schedule.","Lake Washington, USA",Cleaning up Lake Washington,https://www.eopugetsound.org/articles/cleaning-lake-washington,"Lines 38-40 report 1963-1968, >100 miles, zero effluent in February 1968 and USD 140M.",1963,case duration plus cost annotation,TIME_LAKE_WASHINGTON_DIVERSION_1963_1968,Engineering_duration,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_LAKE_WASHINGTON_DIVERSION_1963_1968,retained_baseline
TMDL establishment to full control-measure target,15.0,15.0,policy_window,2010-12-29,2025,EPA established the Chesapeake Bay TMDL on 2010-12-29; all pollution-control measures needed to restore the Bay were to be in place by 2025.,"Chesapeake Bay watershed, USA",Chesapeake Bay Total Maximum Daily Load (TMDL),https://www.epa.gov/chesapeake-bay-tmdl,EPA page lines 100-112.,2010,policy roadmap case; do not generalize to all watersheds,TIME_CHESAPEAKE_TMDL_2010_2025,Policy_window,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_CHESAPEAKE_TMDL_2010_2025,retained_baseline
TMDL establishment to 60% reduction-practice milestone,7.0,7.0,policy_node,2010-12-29,2017,Practices were to be in place by 2017 to meet 60% of the necessary pollution reductions.,"Chesapeake Bay watershed, USA",Chesapeake Bay Total Maximum Daily Load (TMDL),https://www.epa.gov/chesapeake-bay-tmdl,EPA page lines 110-112.,2010,interim policy milestone,TIME_CHESAPEAKE_TMDL_2010_2017_INTERIM,Policy_node,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_CHESAPEAKE_TMDL_2010_2017_INTERIM,retained_baseline
LVEMP I implementation period,8.0,8.0,programme_duration,1997,2005,"Approximately 8 calendar years from the reported programme dates; programme duration, not a universal construction schedule.",Lake Victoria Basin,LVEMP Brief Summary / Ministry of Water and Irrigation Tanzania,https://www.maji.go.tz/uploads/publications/sw1549607182-LVEMP%20Brief%20Summary%202-%20MoWI.pdf,Search/PDF snippet reports LVEMP I (1997-2005) and LVEMP II (2009-2017).,1997,"large-basin programme duration Duration uses the difference between reported calendar years, not exact elapsed days.",TIME_LVEMP_I_1997_2005,Programme_duration,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_LVEMP_I_1997_2005,retained_baseline
LVEMP II implementation period,8.0,8.0,programme_duration,2009,2017,"Approximately 8 calendar years from the reported programme dates; programme duration, not a universal construction schedule.",Lake Victoria Basin,World Bank ICR: Lake Victoria Environmental Management Project II,https://documents1.worldbank.org/curated/en/866591545927201610/pdf/icr00001562-p100406-icr-document-12182018-636810265632510409.pdf,ICR lines 2675-2680 and 2875-2889 include 2017-12-29 actual completion dates and wastewater-design indicators.,2009,"large-basin programme duration Duration uses the difference between reported calendar years, not exact elapsed days.",TIME_LVEMP_II_2009_2017,Programme_duration,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_LVEMP_II_2009_2017,retained_baseline
SMARTER project start and end dates,2.83,2.83,research_implementation_duration,2023-02-01,2025-11-30,FHF project 901820 was completed; start date 2023-02-01 and end date 2025-11-30.,Norway / aquaculture industry,FHF Project 901820 SMARTER,https://www.fhf.no/prosjekter/prosjektbasen/901820/,FHF page lines 67-75.,2023,technology evidence-generation duration,TIME_SMARTER_2023_2025,Research_implementation_duration,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_SMARTER_2023_2025,retained_baseline
GSA consultative drafting process,8.0,8.0,governance_process,,,FAO GSA were drafted by consensus through a global consultative process spanning eight years.,Global,FAO Guidelines for Sustainable Aquaculture,https://www.fao.org/guidelines-sustainable-aquaculture/en,FAO page lines 37-40.,,governance process duration,TIME_GSA_CONSULTATIVE_8Y,Governance_process_duration,As retained in baseline row; do not infer a more precise date.,Baseline selected value retained verbatim; see Context and Source_location.,Inherited_selected_record: selected_timing.csv retained verbatim; v5 did not re-read the underlying source.,02_精选公开数据/quality_selected/selected_timing.csv; Record_ID=TIME_GSA_CONSULTATIVE_8Y,retained_baseline
